1,2003,Dinosaur Planet
2,2004,Isle of Man TT 2004 Review
3,1997,Character,Q928545,Mike van Diem,"{'film based on literature', 'drama film'}"
4,1994,Paula Abdul's Get Up & Dance
5,2004,The Rise and Fall of ECW
6,1997,Sick
7,1992,8 Man
8,2004,What the #$*! Do We Know!?
9,1991,Class of Nuke 'Em High 2,Q3679168,Donald G. Jackson,"{'comedy film', 'action film', 'splatter film', 'comedy horror', 'science fiction film'}"
10,2001,Fighter
11,1999,Full Frame: Documentary Shorts
12,1947,My Favorite Brunette,Q152011,Elliott Nugent,"{'romantic comedy', 'film noir'}"
13,2003,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material
14,1982,Nature: Antarctica
15,1988,Neil Diamond: Greatest Hits Live
16,1996,Screamers,Q555995,Christian Duguay,"{'war film', 'post-apocalyptic film', 'dystopian film', 'thriller film', 'adventure film', 'horror film', 'action film', 'film based on literature', 'fantasy film', 'science fiction film'}"
17,2005,7 Seconds,Q270026,Simon Fellows,"{'crime thriller film', 'action film'}"
18,1994,Immortal Beloved,Q1754839,Bernard Rose,"{'romance film', 'biographical film', 'musical film', 'drama film'}"
19,2000,By Dawn's Early Light
20,1972,Seeta Aur Geeta,Q1519550,Ramesh Sippy,"{'romance film', 'action comedy film', 'drama film'}"
21,2002,Strange Relations
22,2000,Chump Change,Q5116182,Stephen Burrows,{'romantic comedy'}
23,2001,Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo
24,1981,My Bloody Valentine,Q886675,George Mihalka,"{'slasher film', 'horror film', 'drama film'}"
25,1997,Inspector Morse 31: Death Is Now My Neighbour
26,2004,Never Die Alone,Q1628562,Ernest Dickerson,"{'crime film', 'action film'}"
27,1962,Sesame Street: Elmo's World: The Street We Live On
28,2002,Lilo and Stitch,Q36092,Chris Sanders,"{'science fiction film', 'comedy film', 'buddy film', 'comedy drama'}"
29,2001,Boycott,Q9176363,Clark Johnson,{'historical film'}
30,2003,Something's Gotta Give,Q584766,Nancy Meyers,"{'romantic comedy', 'comedy film', 'comedy drama', 'drama film'}"
31,1999,Classic Albums: Meat Loaf: Bat Out of Hell
32,2004,ABC Primetime: Mel Gibson's The Passion of the Christ
33,2000,Aqua Teen Hunger Force: Vol. 1
34,2003,Ashtanga Yoga: Beginner's Practice with Nicki Doane
35,2000,Ferngully 2: The Magical Rescue
36,1992,Lady Chatterley
37,1973,Zatoichi's Conspiracy,Q3210185,Kimiyoshi Yasuda,{'drama film'}
38,2003,Daydream Obsession
39,2000,Love Reinvented
40,2004,Pitcher and the Pin-Up
41,2000,Horror Vision
42,2002,Searching for Paradise
